respondent_id,question_id,ground_truth
R027,q4_price_preference,3
R027,q5_recommend,2
R027,q6_feature_importance,4
R028,q1_would_subscribe,2
R028,q2_subscription_likelihood,5
R028,q3_platform_trust,6
R028,q4_price_preference,5
R028,q5_recommend,2
R028,q6_feature_importance,3
R029,q1_would_subscribe,2
R029,q2_subscription_likelihood,5
R029,q3_platform_trust,3
R029,q4_price_preference,2
R029,q5_recommend,2
R029,q6_feature_importance,3
R030,q1_would_subscribe,2
R030,q2_subscription_likelihood,5
R030,q3_platform_trust,6
R030,q4_price_preference,3
R030,q5_recommend,1
R030,q6_feature_importance,5
R031,q1_would_subscribe,2
R031,q2_subscription_likelihood,5
R031,q3_platform_trust,5
R031,q4_price_preference,3
R031,q5_recommend,2
R031,q6_feature_importance,5
R032,q1_would_subscribe,2
R032,q2_subscription_likelihood,5
R032,q3_platform_trust,7
R032,q4_price_preference,3
R032,q5_recommend,1
R032,q6_feature_importance,5
R033,q1_would_subscribe,2
R033,q2_subscription_likelihood,5
R033,q3_platform_trust,5
R033,q4_price_preference,4
R033,q5_recommend,2
R033,q6_feature_importance,5
R034,q1_would_subscribe,1
R034,q2_subscription_likelihood,2
R034,q3_platform_trust,2
R034,q4_price_preference,3
R034,q5_recommend,1
R034,q6_feature_importance,4
R035,q1_would_subscribe,2
R035,q2_subscription_likelihood,2
R035,q3_platform_trust,5
R035,q4_price_preference,5
R035,q5_recommend,1
R035,q6_feature_importance,4
R036,q1_would_subscribe,2
R036,q2_subscription_likelihood,5
R036,q3_platform_trust,4
R036,q4_price_preference,4
R036,q5_recommend,2
R036,q6_feature_importance,4
R037,q1_would_subscribe,2
R037,q2_subscription_likelihood,4
R037,q3_platform_trust,5
R037,q4_price_preference,3
R037,q5_recommend,2
R037,q6_feature_importance,4
R038,q1_would_subscribe,1
R038,q2_subscription_likelihood,4
R038,q3_platform_trust,7
R038,q4_price_preference,5
R038,q5_recommend,2
R038,q6_feature_importance,4
R039,q1_would_subscribe,2
R039,q2_subscription_likelihood,5
R039,q3_platform_trust,4
R039,q4_price_preference,4
R039,q5_recommend,2
R039,q6_feature_importance,1
R040,q1_would_subscribe,2
R040,q2_subscription_likelihood,1
R040,q3_platform_trust,5
R040,q4_price_preference,2
R040,q5_recommend,1
R040,q6_feature_importance,2
R041,q1_would_subscribe,1
R041,q2_subscription_likelihood,4
R041,q3_platform_trust,5
R041,q4_price_preference,5
R041,q5_recommend,2
R041,q6_feature_importance,3
R042,q1_would_subscribe,1
R042,q2_subscription_likelihood,4
R042,q3_platform_trust,3
R042,q4_price_preference,3
R042,q5_recommend,1
R042,q6_feature_importance,2
R043,q1_would_subscribe,2
R043,q2_subscription_likelihood,5
R043,q3_platform_trust,7
R043,q4_price_preference,3
R043,q5_recommend,2
R043,q6_feature_importance,4
R044,q1_would_subscribe,1
R044,q2_subscription_likelihood,2
R044,q3_platform_trust,1
R044,q4_price_preference,3
R044,q5_recommend,1
R044,q6_feature_importance,4
R045,q1_would_subscribe,2
R045,q2_subscription_likelihood,2
R045,q3_platform_trust,2
R045,q4_price_preference,2
R045,q5_recommend,1
R045,q6_feature_importance,3
R046,q1_would_subscribe,2
R046,q2_subscription_likelihood,5
R046,q3_platform_trust,4
R046,q4_price_preference,5
R046,q5_recommend,2
R046,q6_feature_importance,2
R047,q1_would_subscribe,2
R047,q2_subscription_likelihood,4
R047,q3_platform_trust,3
R047,q4_price_preference,5
R047,q5_recommend,2
R047,q6_feature_importance,3
R048,q1_would_subscribe,2
R048,q2_subscription_likelihood,1
R048,q3_platform_trust,5
R048,q4_price_preference,5
R048,q5_recommend,2
R048,q6_feature_importance,4
R049,q1_would_subscribe,2
R049,q2_subscription_likelihood,3
R049,q3_platform_trust,1
R049,q4_price_preference,3
R049,q5_recommend,2
R049,q6_feature_importance,4
R050,q1_would_subscribe,2
R050,q2_subscription_likelihood,5
R050,q3_platform_trust,4
R050,q4_price_preference,4
R050,q5_recommend,2
R050,q6_feature_importance,2
R051,q1_would_subscribe,1
R051,q2_subscription_likelihood,5
R051,q3_platform_trust,4
R051,q4_price_preference,5
R051,q5_recommend,2
R051,q6_feature_importance,2
R052,q1_would_subscribe,1
R052,q2_subscription_likelihood,1
R052,q3_platform_trust,4
R052,q4_price_preference,1
R052,q5_recommend,1
R052,q6_feature_importance,2
R053,q1_would_subscribe,2
R053,q2_subscription_likelihood,5
R053,q3_platform_trust,5
R053,q4_price_preference,4
R053,q5_recommend,2
R053,q6_feature_importance,4
R054,q1_would_subscribe,2
R054,q2_subscription_likelihood,2
R054,q3_platform_trust,2
R054,q4_price_preference,2
R054,q5_recommend,2
R054,q6_feature_importance,5
R055,q1_would_subscribe,2
R055,q2_subscription_likelihood,4
R055,q3_platform_trust,2
R055,q4_price_preference,5
R055,q5_recommend,1
R055,q6_feature_importance,3
R056,q1_would_subscribe,2
R056,q2_subscription_likelihood,5
R056,q3_platform_trust,7
R056,q4_price_preference,3
R056,q5_recommend,1
R056,q6_feature_importance,5
R057,q1_would_subscribe,1
R057,q2_subscription_likelihood,3
R057,q3_platform_trust,5
R057,q4_price_preference,2
R057,q5_recommend,1
R057,q6_feature_importance,2
R058,q1_would_subscribe,2
R058,q2_subscription_likelihood,4
R058,q3_platform_trust,5
R058,q4_price_preference,4
R058,q5_recommend,2
R058,q6_feature_importance,5
R059,q1_would_subscribe,2
R059,q2_subscription_likelihood,5
R059,q3_platform_trust,6
R059,q4_price_preference,3
R059,q5_recommend,1
R059,q6_feature_importance,1
R060,q1_would_subscribe,1
R060,q2_subscription_likelihood,1
R060,q3_platform_trust,4
R060,q4_price_preference,1
R060,q5_recommend,1
R060,q6_feature_importance,2
R061,q1_would_subscribe,1
R061,q2_subscription_likelihood,5
R061,q3_platform_trust,7
R061,q4_price_preference,5
R061,q5_recommend,2
R061,q6_feature_importance,5
R062,q1_would_subscribe,2
R062,q2_subscription_likelihood,4
R062,q3_platform_trust,7
R062,q4_price_preference,2
R062,q5_recommend,2
R062,q6_feature_importance,3
R063,q1_would_subscribe,2
R063,q2_subscription_likelihood,4
R063,q3_platform_trust,6
R063,q4_price_preference,4
R063,q5_recommend,1
R063,q6_feature_importance,3
R064,q1_would_subscribe,1
R064,q2_subscription_likelihood,1
R064,q3_platform_trust,7
R064,q4_price_preference,3
R064,q5_recommend,1
R064,q6_feature_importance,4
R065,q1_would_subscribe,2
R065,q2_subscription_likelihood,5
R065,q3_platform_trust,4
R065,q4_price_preference,5
R065,q5_recommend,1
R065,q6_feature_importance,4
R066,q1_would_subscribe,1
R066,q2_subscription_likelihood,2
R066,q3_platform_trust,3
R066,q4_price_preference,1
R066,q5_recommend,1
R066,q6_feature_importance,1
R067,q1_would_subscribe,1
R067,q2_subscription_likelihood,1
R067,q3_platform_trust,3
R067,q4_price_preference,2
R067,q5_recommend,1
R067,q6_feature_importance,4
R068,q1_would_subscribe,1
R068,q2_subscription_likelihood,3
R068,q3_platform_trust,2
R068,q4_price_preference,3
R068,q5_recommend,1
R068,q6_feature_importance,2
R069,q1_would_subscribe,2
R069,q2_subscription_likelihood,5
R069,q3_platform_trust,7
R069,q4_price_preference,4
R069,q5_recommend,2
R069,q6_feature_importance,5
R070,q1_would_subscribe,2
R070,q2_subscription_likelihood,5
R070,q3_platform_trust,7
R070,q4_price_preference,1
R070,q5_recommend,2
R070,q6_feature_importance,4
R071,q1_would_subscribe,2
R071,q2_subscription_likelihood,4
R071,q3_platform_trust,6
R071,q4_price_preference,5
R071,q5_recommend,2
R071,q6_feature_importance,3
R072,q1_would_subscribe,2
R072,q2_subscription_likelihood,1
R072,q3_platform_trust,5
R072,q4_price_preference,5
R072,q5_recommend,2
R072,q6_feature_importance,3
R073,q1_would_subscribe,2
R073,q2_subscription_likelihood,5
R073,q3_platform_trust,2
R073,q4_price_preference,5
R073,q5_recommend,1
R073,q6_feature_importance,3
R074,q1_would_subscribe,1
R074,q2_subscription_likelihood,1
R074,q3_platform_trust,2
R074,q4_price_preference,2
R074,q5_recommend,1
R074,q6_feature_importance,2
R075,q1_would_subscribe,2
R075,q2_subscription_likelihood,4
R075,q3_platform_trust,7
R075,q4_price_preference,5
R075,q5_recommend,1
R075,q6_feature_importance,5
R076,q1_would_subscribe,1
R076,q2_subscription_likelihood,5
R076,q3_platform_trust,3
R076,q4_price_preference,2
R076,q5_recommend,2
R076,q6_feature_importance,5
R077,q1_would_subscribe,2
R077,q2_subscription_likelihood,5
R077,q3_platform_trust,3
R077,q4_price_preference,3
R077,q5_recommend,1
R077,q6_feature_importance,2
R078,q1_would_subscribe,2
R078,q2_subscription_likelihood,4
R078,q3_platform_trust,5
R078,q4_price_preference,3
R078,q5_recommend,2
R078,q6_feature_importance,2
R079,q1_would_subscribe,1
R079,q2_subscription_likelihood,5
R079,q3_platform_trust,4
R079,q4_price_preference,2
R079,q5_recommend,2
R079,q6_feature_importance,5
R080,q1_would_subscribe,2
R080,q2_subscription_likelihood,5
R080,q3_platform_trust,7
R080,q4_price_preference,1
R080,q5_recommend,1
R080,q6_feature_importance,5
R081,q1_would_subscribe,2
R081,q2_subscription_likelihood,4
R081,q3_platform_trust,3
R081,q4_price_preference,2
R081,q5_recommend,1
R081,q6_feature_importance,3
R082,q1_would_subscribe,2
R082,q2_subscription_likelihood,5
R082,q3_platform_trust,3
R082,q4_price_preference,5
R082,q5_recommend,2
R082,q6_feature_importance,5
R083,q1_would_subscribe,2
R083,q2_subscription_likelihood,3
R083,q3_platform_trust,6
R083,q4_price_preference,3
R083,q5_recommend,2
R083,q6_feature_importance,3
R084,q1_would_subscribe,2
R084,q2_subscription_likelihood,3
R084,q3_platform_trust,6
R084,q4_price_preference,3
R084,q5_recommend,2
R084,q6_feature_importance,4
R085,q1_would_subscribe,1
R085,q2_subscription_likelihood,4
R085,q3_platform_trust,4
R085,q4_price_preference,5
R085,q5_recommend,2
R085,q6_feature_importance,3
R086,q1_would_subscribe,2
R086,q2_subscription_likelihood,3
R086,q3_platform_trust,7
R086,q4_price_preference,4
R086,q5_recommend,1
R086,q6_feature_importance,5
R087,q1_would_subscribe,2
R087,q2_subscription_likelihood,3
R087,q3_platform_trust,4
R087,q4_price_preference,2
R087,q5_recommend,2
R087,q6_feature_importance,2
R088,q1_would_subscribe,2
R088,q2_subscription_likelihood,5
R088,q3_platform_trust,6
R088,q4_price_preference,4
R088,q5_recommend,1
R088,q6_feature_importance,4
R089,q1_would_subscribe,2
R089,q2_subscription_likelihood,5
R089,q3_platform_trust,3
R089,q4_price_preference,4
R089,q5_recommend,1
R089,q6_feature_importance,4
R090,q1_would_subscribe,1
R090,q2_subscription_likelihood,1
R090,q3_platform_trust,3
R090,q4_price_preference,1
R090,q5_recommend,1
R090,q6_feature_importance,2
R091,q1_would_subscribe,2
R091,q2_subscription_likelihood,2
R091,q3_platform_trust,3
R091,q4_price_preference,2
R091,q5_recommend,2
R091,q6_feature_importance,5
R092,q1_would_subscribe,2
R092,q2_subscription_likelihood,4
R092,q3_platform_trust,5
R092,q4_price_preference,5
R092,q5_recommend,2
R092,q6_feature_importance,5
R093,q1_would_subscribe,2
R093,q2_subscription_likelihood,2
R093,q3_platform_trust,6
R093,q4_price_preference,4
R093,q5_recommend,2
R093,q6_feature_importance,5
R094,q1_would_subscribe,2
R094,q2_subscription_likelihood,2
R094,q3_platform_trust,6
R094,q4_price_preference,2
R094,q5_recommend,2
R094,q6_feature_importance,4
R095,q1_would_subscribe,1
R095,q2_subscription_likelihood,4
R095,q3_platform_trust,5
R095,q4_price_preference,1
R095,q5_recommend,2
R095,q6_feature_importance,4
R096,q1_would_subscribe,1
R096,q2_subscription_likelihood,3
R096,q3_platform_trust,7
R096,q4_price_preference,4
R096,q5_recommend,2
R096,q6_feature_importance,4
R097,q1_would_subscribe,2
R097,q2_subscription_likelihood,5
R097,q3_platform_trust,4
R097,q4_price_preference,3
R097,q5_recommend,2
R097,q6_feature_importance,2
R098,q1_would_subscribe,2
R098,q2_subscription_likelihood,5
R098,q3_platform_trust,5
R098,q4_price_preference,3
R098,q5_recommend,2
R098,q6_feature_importance,5
R099,q1_would_subscribe,1
R099,q2_subscription_likelihood,2
R099,q3_platform_trust,4
R099,q4_price_preference,1
R099,q5_recommend,1
R099,q6_feature_importance,3
R100,q1_would_subscribe,2
R100,q2_subscription_likelihood,5
R100,q3_platform_trust,2
R100,q4_price_preference,5
R100,q5_recommend,2
R100,q6_feature_importance,5
