respondent_id,question_id,ground_truth,category,gender,age_group,persona_group,occupation
R005,uniqueness,5,general,Female,25-34,Busy Professionals,Professional
R005,relevance,5,general,Female,25-34,Busy Professionals,Professional
R005,recommendation,1,general,Female,25-34,Busy Professionals,Professional
R005,current_meal_kit_user,2,general,Female,25-34,Busy Professionals,Professional
R005,most_important_feature,4,general,Female,25-34,Busy Professionals,Professional
R006,purchase_intent,3,general,Female,35-44,Busy Professionals,Professional
R006,value_for_money,2,general,Female,35-44,Busy Professionals,Professional
R006,likeability,3,general,Female,35-44,Busy Professionals,Professional
R006,uniqueness,1,general,Female,35-44,Busy Professionals,Professional
R006,relevance,1,general,Female,35-44,Busy Professionals,Professional
R006,recommendation,2,general,Female,35-44,Busy Professionals,Professional
R006,current_meal_kit_user,1,general,Female,35-44,Busy Professionals,Professional
R006,most_important_feature,1,general,Female,35-44,Busy Professionals,Professional
R007,purchase_intent,1,general,Female,35-44,Busy Professionals,Manager
R007,value_for_money,4,general,Female,35-44,Busy Professionals,Manager
R007,likeability,6,general,Female,35-44,Busy Professionals,Manager
R007,uniqueness,4,general,Female,35-44,Busy Professionals,Manager
R007,relevance,2,general,Female,35-44,Busy Professionals,Manager
R007,recommendation,2,general,Female,35-44,Busy Professionals,Manager
R007,current_meal_kit_user,1,general,Female,35-44,Busy Professionals,Manager
R007,most_important_feature,1,general,Female,35-44,Busy Professionals,Manager
R008,purchase_intent,1,general,Male,35-44,Busy Professionals,Manager
R008,value_for_money,1,general,Male,35-44,Busy Professionals,Manager
R008,likeability,1,general,Male,35-44,Busy Professionals,Manager
R008,uniqueness,2,general,Male,35-44,Busy Professionals,Manager
R008,relevance,2,general,Male,35-44,Busy Professionals,Manager
R008,recommendation,2,general,Male,35-44,Busy Professionals,Manager
R008,current_meal_kit_user,1,general,Male,35-44,Busy Professionals,Manager
R008,most_important_feature,1,general,Male,35-44,Busy Professionals,Manager
R009,purchase_intent,4,general,Male,35-44,Busy Professionals,Technical
R009,value_for_money,4,general,Male,35-44,Busy Professionals,Technical
R009,likeability,3,general,Male,35-44,Busy Professionals,Technical
R009,uniqueness,2,general,Male,35-44,Busy Professionals,Technical
R009,relevance,2,general,Male,35-44,Busy Professionals,Technical
R009,recommendation,1,general,Male,35-44,Busy Professionals,Technical
R009,current_meal_kit_user,1,general,Male,35-44,Busy Professionals,Technical
R009,most_important_feature,1,general,Male,35-44,Busy Professionals,Technical
R010,purchase_intent,1,general,Female,35-44,Busy Professionals,Technical
R010,value_for_money,5,general,Female,35-44,Busy Professionals,Technical
R010,likeability,6,general,Female,35-44,Busy Professionals,Technical
R010,uniqueness,2,general,Female,35-44,Busy Professionals,Technical
R010,relevance,3,general,Female,35-44,Busy Professionals,Technical
R010,recommendation,1,general,Female,35-44,Busy Professionals,Technical
R010,current_meal_kit_user,1,general,Female,35-44,Busy Professionals,Technical
R010,most_important_feature,2,general,Female,35-44,Busy Professionals,Technical
R011,purchase_intent,2,general,Female,35-44,Busy Professionals,Technical
R011,value_for_money,1,general,Female,35-44,Busy Professionals,Technical
R011,likeability,3,general,Female,35-44,Busy Professionals,Technical
R011,uniqueness,5,general,Female,35-44,Busy Professionals,Technical
R011,relevance,2,general,Female,35-44,Busy Professionals,Technical
R011,recommendation,1,general,Female,35-44,Busy Professionals,Technical
R011,current_meal_kit_user,2,general,Female,35-44,Busy Professionals,Technical
R011,most_important_feature,3,general,Female,35-44,Busy Professionals,Technical
R012,purchase_intent,2,general,Female,25-34,Busy Professionals,Manager
R012,value_for_money,4,general,Female,25-34,Busy Professionals,Manager
R012,likeability,4,general,Female,25-34,Busy Professionals,Manager
R012,uniqueness,2,general,Female,25-34,Busy Professionals,Manager
R012,relevance,1,general,Female,25-34,Busy Professionals,Manager
R012,recommendation,2,general,Female,25-34,Busy Professionals,Manager
R012,current_meal_kit_user,1,general,Female,25-34,Busy Professionals,Manager
R012,most_important_feature,4,general,Female,25-34,Busy Professionals,Manager
R013,purchase_intent,2,general,Male,25-34,Busy Professionals,Technical
R013,value_for_money,4,general,Male,25-34,Busy Professionals,Technical
R013,likeability,2,general,Male,25-34,Busy Professionals,Technical
R013,uniqueness,4,general,Male,25-34,Busy Professionals,Technical
R013,relevance,4,general,Male,25-34,Busy Professionals,Technical
R013,recommendation,4,general,Male,25-34,Busy Professionals,Technical
R013,current_meal_kit_user,2,general,Male,25-34,Busy Professionals,Technical
R013,most_important_feature,2,general,Male,25-34,Busy Professionals,Technical
R014,purchase_intent,3,general,Female,25-34,Busy Professionals,Professional
R014,value_for_money,4,general,Female,25-34,Busy Professionals,Professional
R014,likeability,3,general,Female,25-34,Busy Professionals,Professional
R014,uniqueness,5,general,Female,25-34,Busy Professionals,Professional
R014,relevance,5,general,Female,25-34,Busy Professionals,Professional
R014,recommendation,1,general,Female,25-34,Busy Professionals,Professional
R014,current_meal_kit_user,1,general,Female,25-34,Busy Professionals,Professional
R014,most_important_feature,1,general,Female,25-34,Busy Professionals,Professional
R015,purchase_intent,5,general,Female,25-34,Busy Professionals,Professional
R015,value_for_money,5,general,Female,25-34,Busy Professionals,Professional
R015,likeability,2,general,Female,25-34,Busy Professionals,Professional
R015,uniqueness,2,general,Female,25-34,Busy Professionals,Professional
R015,relevance,3,general,Female,25-34,Busy Professionals,Professional
R015,recommendation,2,general,Female,25-34,Busy Professionals,Professional
R015,current_meal_kit_user,1,general,Female,25-34,Busy Professionals,Professional
R015,most_important_feature,5,general,Female,25-34,Busy Professionals,Professional
R016,purchase_intent,2,general,Male,35-44,Busy Professionals,Manager
R016,value_for_money,3,general,Male,35-44,Busy Professionals,Manager
R016,likeability,3,general,Male,35-44,Busy Professionals,Manager
R016,uniqueness,1,general,Male,35-44,Busy Professionals,Manager
R016,relevance,2,general,Male,35-44,Busy Professionals,Manager
R016,recommendation,2,general,Male,35-44,Busy Professionals,Manager
R016,current_meal_kit_user,1,general,Male,35-44,Busy Professionals,Manager
R016,most_important_feature,1,general,Male,35-44,Busy Professionals,Manager
R017,purchase_intent,3,general,Female,25-34,Busy Professionals,Technical
R017,value_for_money,3,general,Female,25-34,Busy Professionals,Technical
R017,likeability,1,general,Female,25-34,Busy Professionals,Technical
R017,uniqueness,2,general,Female,25-34,Busy Professionals,Technical
R017,relevance,5,general,Female,25-34,Busy Professionals,Technical
R017,recommendation,1,general,Female,25-34,Busy Professionals,Technical
R017,current_meal_kit_user,1,general,Female,25-34,Busy Professionals,Technical
R017,most_important_feature,2,general,Female,25-34,Busy Professionals,Technical
R018,purchase_intent,2,general,Female,25-34,Busy Professionals,Technical
R018,value_for_money,5,general,Female,25-34,Busy Professionals,Technical
R018,likeability,7,general,Female,25-34,Busy Professionals,Technical
R018,uniqueness,5,general,Female,25-34,Busy Professionals,Technical
R018,relevance,1,general,Female,25-34,Busy Professionals,Technical
R018,recommendation,3,general,Female,25-34,Busy Professionals,Technical
R018,current_meal_kit_user,1,general,Female,25-34,Busy Professionals,Technical
R018,most_important_feature,1,general,Female,25-34,Busy Professionals,Technical
R019,purchase_intent,4,general,Female,25-34,Busy Professionals,Manager
R019,value_for_money,1,general,Female,25-34,Busy Professionals,Manager
R019,likeability,7,general,Female,25-34,Busy Professionals,Manager
R019,uniqueness,2,general,Female,25-34,Busy Professionals,Manager
R019,relevance,1,general,Female,25-34,Busy Professionals,Manager
R019,recommendation,2,general,Female,25-34,Busy Professionals,Manager
R019,current_meal_kit_user,1,general,Female,25-34,Busy Professionals,Manager
R019,most_important_feature,2,general,Female,25-34,Busy Professionals,Manager
R020,purchase_intent,2,general,Female,35-44,Busy Professionals,Manager
R020,value_for_money,3,general,Female,35-44,Busy Professionals,Manager
R020,likeability,2,general,Female,35-44,Busy Professionals,Manager
R020,uniqueness,1,general,Female,35-44,Busy Professionals,Manager
R020,relevance,2,general,Female,35-44,Busy Professionals,Manager
R020,recommendation,2,general,Female,35-44,Busy Professionals,Manager
R020,current_meal_kit_user,1,general,Female,35-44,Busy Professionals,Manager
R020,most_important_feature,1,general,Female,35-44,Busy Professionals,Manager
R021,purchase_intent,1,general,Female,35-44,Busy Professionals,Professional
R021,value_for_money,2,general,Female,35-44,Busy Professionals,Professional
R021,likeability,2,general,Female,35-44,Busy Professionals,Professional
R021,uniqueness,4,general,Female,35-44,Busy Professionals,Professional
R021,relevance,3,general,Female,35-44,Busy Professionals,Professional
R021,recommendation,3,general,Female,35-44,Busy Professionals,Professional
R021,current_meal_kit_user,1,general,Female,35-44,Busy Professionals,Professional
R021,most_important_feature,1,general,Female,35-44,Busy Professionals,Professional
R022,purchase_intent,4,general,Male,35-44,Busy Professionals,Technical
R022,value_for_money,4,general,Male,35-44,Busy Professionals,Technical
R022,likeability,1,general,Male,35-44,Busy Professionals,Technical
R022,uniqueness,1,general,Male,35-44,Busy Professionals,Technical
R022,relevance,3,general,Male,35-44,Busy Professionals,Technical
R022,recommendation,1,general,Male,35-44,Busy Professionals,Technical
R022,current_meal_kit_user,2,general,Male,35-44,Busy Professionals,Technical
R022,most_important_feature,6,general,Male,35-44,Busy Professionals,Technical
R023,purchase_intent,2,general,Female,35-44,Busy Professionals,Manager
R023,value_for_money,1,general,Female,35-44,Busy Professionals,Manager
R023,likeability,1,general,Female,35-44,Busy Professionals,Manager
R023,uniqueness,5,general,Female,35-44,Busy Professionals,Manager
R023,relevance,3,general,Female,35-44,Busy Professionals,Manager
R023,recommendation,4,general,Female,35-44,Busy Professionals,Manager
R023,current_meal_kit_user,1,general,Female,35-44,Busy Professionals,Manager
R023,most_important_feature,1,general,Female,35-44,Busy Professionals,Manager
R024,purchase_intent,2,general,Female,25-34,Busy Professionals,Professional
R024,value_for_money,5,general,Female,25-34,Busy Professionals,Professional
R024,likeability,4,general,Female,25-34,Busy Professionals,Professional
R024,uniqueness,4,general,Female,25-34,Busy Professionals,Professional
R024,relevance,5,general,Female,25-34,Busy Professionals,Professional
R024,recommendation,2,general,Female,25-34,Busy Professionals,Professional
R024,current_meal_kit_user,1,general,Female,25-34,Busy Professionals,Professional
R024,most_important_feature,5,general,Female,25-34,Busy Professionals,Professional
R025,purchase_intent,5,general,Male,25-34,Busy Professionals,Manager
R025,value_for_money,5,general,Male,25-34,Busy Professionals,Manager
R025,likeability,4,general,Male,25-34,Busy Professionals,Manager
R025,uniqueness,4,general,Male,25-34,Busy Professionals,Manager
R025,relevance,4,general,Male,25-34,Busy Professionals,Manager
R025,recommendation,5,general,Male,25-34,Busy Professionals,Manager
R025,current_meal_kit_user,1,general,Male,25-34,Busy Professionals,Manager
R025,most_important_feature,3,general,Male,25-34,Busy Professionals,Manager
R026,purchase_intent,2,general,Female,35-44,Busy Professionals,Professional
R026,value_for_money,3,general,Female,35-44,Busy Professionals,Professional
R026,likeability,2,general,Female,35-44,Busy Professionals,Professional
R026,uniqueness,4,general,Female,35-44,Busy Professionals,Professional
R026,relevance,3,general,Female,35-44,Busy Professionals,Professional
R026,recommendation,1,general,Female,35-44,Busy Professionals,Professional
R026,current_meal_kit_user,1,general,Female,35-44,Busy Professionals,Professional
R026,most_important_feature,6,general,Female,35-44,Busy Professionals,Professional
R027,purchase_intent,1,general,Male,25-34,Busy Professionals,Manager
R027,value_for_money,3,general,Male,25-34,Busy Professionals,Manager
R027,likeability,7,general,Male,25-34,Busy Professionals,Manager
R027,uniqueness,5,general,Male,25-34,Busy Professionals,Manager
R027,relevance,2,general,Male,25-34,Busy Professionals,Manager
R027,recommendation,3,general,Male,25-34,Busy Professionals,Manager
R027,current_meal_kit_user,1,general,Male,25-34,Busy Professionals,Manager
R027,most_important_feature,4,general,Male,25-34,Busy Professionals,Manager
R028,purchase_intent,5,general,Male,35-44,Busy Professionals,Professional
R028,value_for_money,3,general,Male,35-44,Busy Professionals,Professional
R028,likeability,4,general,Male,35-44,Busy Professionals,Professional
R028,uniqueness,2,general,Male,35-44,Busy Professionals,Professional
R028,relevance,2,general,Male,35-44,Busy Professionals,Professional
R028,recommendation,3,general,Male,35-44,Busy Professionals,Professional
R028,current_meal_kit_user,1,general,Male,35-44,Busy Professionals,Professional
R028,most_important_feature,4,general,Male,35-44,Busy Professionals,Professional
R029,purchase_intent,4,general,Female,25-34,Busy Professionals,Manager
R029,value_for_money,5,general,Female,25-34,Busy Professionals,Manager
R029,likeability,5,general,Female,25-34,Busy Professionals,Manager
R029,uniqueness,3,general,Female,25-34,Busy Professionals,Manager
R029,relevance,3,general,Female,25-34,Busy Professionals,Manager
R029,recommendation,5,general,Female,25-34,Busy Professionals,Manager
R029,current_meal_kit_user,1,general,Female,25-34,Busy Professionals,Manager
R029,most_important_feature,3,general,Female,25-34,Busy Professionals,Manager
R030,purchase_intent,5,general,Female,35-44,Busy Professionals,Technical
R030,value_for_money,1,general,Female,35-44,Busy Professionals,Technical
R030,likeability,4,general,Female,35-44,Busy Professionals,Technical
R030,uniqueness,1,general,Female,35-44,Busy Professionals,Technical
R030,relevance,1,general,Female,35-44,Busy Professionals,Technical
R030,recommendation,1,general,Female,35-44,Busy Professionals,Technical
R030,current_meal_kit_user,1,general,Female,35-44,Busy Professionals,Technical
R030,most_important_feature,1,general,Female,35-44,Busy Professionals,Technical
R031,purchase_intent,1,general,Male,45-54,Health-Conscious Families,Sales
R031,value_for_money,4,general,Male,45-54,Health-Conscious Families,Sales
R031,likeability,4,general,Male,45-54,Health-Conscious Families,Sales
R031,uniqueness,5,general,Male,45-54,Health-Conscious Families,Sales
R031,relevance,2,general,Male,45-54,Health-Conscious Families,Sales
R031,recommendation,1,general,Male,45-54,Health-Conscious Families,Sales
R031,current_meal_kit_user,2,general,Male,45-54,Health-Conscious Families,Sales
R031,most_important_feature,6,general,Male,45-54,Health-Conscious Families,Sales
R032,purchase_intent,3,general,Female,45-54,Health-Conscious Families,Service
R032,value_for_money,4,general,Female,45-54,Health-Conscious Families,Service
R032,likeability,5,general,Female,45-54,Health-Conscious Families,Service
R032,uniqueness,3,general,Female,45-54,Health-Conscious Families,Service
R032,relevance,5,general,Female,45-54,Health-Conscious Families,Service
R032,recommendation,5,general,Female,45-54,Health-Conscious Families,Service
R032,current_meal_kit_user,2,general,Female,45-54,Health-Conscious Families,Service
R032,most_important_feature,2,general,Female,45-54,Health-Conscious Families,Service
R033,purchase_intent,5,general,Female,45-54,Health-Conscious Families,Service
R033,value_for_money,4,general,Female,45-54,Health-Conscious Families,Service
R033,likeability,6,general,Female,45-54,Health-Conscious Families,Service
R033,uniqueness,4,general,Female,45-54,Health-Conscious Families,Service
R033,relevance,3,general,Female,45-54,Health-Conscious Families,Service
R033,recommendation,5,general,Female,45-54,Health-Conscious Families,Service
R033,current_meal_kit_user,2,general,Female,45-54,Health-Conscious Families,Service
R033,most_important_feature,6,general,Female,45-54,Health-Conscious Families,Service
R034,purchase_intent,5,general,Male,45-54,Health-Conscious Families,Professional
R034,value_for_money,3,general,Male,45-54,Health-Conscious Families,Professional
R034,likeability,3,general,Male,45-54,Health-Conscious Families,Professional
R034,uniqueness,3,general,Male,45-54,Health-Conscious Families,Professional
R034,relevance,1,general,Male,45-54,Health-Conscious Families,Professional
R034,recommendation,5,general,Male,45-54,Health-Conscious Families,Professional
R034,current_meal_kit_user,2,general,Male,45-54,Health-Conscious Families,Professional
R034,most_important_feature,5,general,Male,45-54,Health-Conscious Families,Professional
R035,purchase_intent,2,general,Female,35-44,Health-Conscious Families,Professional
R035,value_for_money,5,general,Female,35-44,Health-Conscious Families,Professional
R035,likeability,6,general,Female,35-44,Health-Conscious Families,Professional
R035,uniqueness,1,general,Female,35-44,Health-Conscious Families,Professional
R035,relevance,2,general,Female,35-44,Health-Conscious Families,Professional
R035,recommendation,3,general,Female,35-44,Health-Conscious Families,Professional
R035,current_meal_kit_user,1,general,Female,35-44,Health-Conscious Families,Professional
R035,most_important_feature,5,general,Female,35-44,Health-Conscious Families,Professional
R036,purchase_intent,5,general,Male,35-44,Health-Conscious Families,Professional
R036,value_for_money,2,general,Male,35-44,Health-Conscious Families,Professional
R036,likeability,6,general,Male,35-44,Health-Conscious Families,Professional
R036,uniqueness,1,general,Male,35-44,Health-Conscious Families,Professional
R036,relevance,2,general,Male,35-44,Health-Conscious Families,Professional
R036,recommendation,5,general,Male,35-44,Health-Conscious Families,Professional
R036,current_meal_kit_user,2,general,Male,35-44,Health-Conscious Families,Professional
R036,most_important_feature,4,general,Male,35-44,Health-Conscious Families,Professional
R037,purchase_intent,5,general,Female,45-54,Health-Conscious Families,Sales
R037,value_for_money,1,general,Female,45-54,Health-Conscious Families,Sales
R037,likeability,1,general,Female,45-54,Health-Conscious Families,Sales
R037,uniqueness,1,general,Female,45-54,Health-Conscious Families,Sales
R037,relevance,3,general,Female,45-54,Health-Conscious Families,Sales
R037,recommendation,3,general,Female,45-54,Health-Conscious Families,Sales
R037,current_meal_kit_user,2,general,Female,45-54,Health-Conscious Families,Sales
R037,most_important_feature,6,general,Female,45-54,Health-Conscious Families,Sales
R038,purchase_intent,2,general,Female,35-44,Health-Conscious Families,Professional
R038,value_for_money,3,general,Female,35-44,Health-Conscious Families,Professional
R038,likeability,3,general,Female,35-44,Health-Conscious Families,Professional
R038,uniqueness,1,general,Female,35-44,Health-Conscious Families,Professional
R038,relevance,1,general,Female,35-44,Health-Conscious Families,Professional
R038,recommendation,4,general,Female,35-44,Health-Conscious Families,Professional
R038,current_meal_kit_user,1,general,Female,35-44,Health-Conscious Families,Professional
R038,most_important_feature,5,general,Female,35-44,Health-Conscious Families,Professional
R039,purchase_intent,3,general,Female,35-44,Health-Conscious Families,Professional
R039,value_for_money,1,general,Female,35-44,Health-Conscious Families,Professional
R039,likeability,2,general,Female,35-44,Health-Conscious Families,Professional
R039,uniqueness,2,general,Female,35-44,Health-Conscious Families,Professional
R039,relevance,5,general,Female,35-44,Health-Conscious Families,Professional
R039,recommendation,1,general,Female,35-44,Health-Conscious Families,Professional
R039,current_meal_kit_user,1,general,Female,35-44,Health-Conscious Families,Professional
R039,most_important_feature,4,general,Female,35-44,Health-Conscious Families,Professional
R040,purchase_intent,4,general,Female,35-44,Health-Conscious Families,Sales
R040,value_for_money,4,general,Female,35-44,Health-Conscious Families,Sales
R040,likeability,4,general,Female,35-44,Health-Conscious Families,Sales
R040,uniqueness,2,general,Female,35-44,Health-Conscious Families,Sales
R040,relevance,5,general,Female,35-44,Health-Conscious Families,Sales
R040,recommendation,3,general,Female,35-44,Health-Conscious Families,Sales
R040,current_meal_kit_user,1,general,Female,35-44,Health-Conscious Families,Sales
R040,most_important_feature,1,general,Female,35-44,Health-Conscious Families,Sales
R041,purchase_intent,1,general,Male,45-54,Health-Conscious Families,Service
R041,value_for_money,1,general,Male,45-54,Health-Conscious Families,Service
R041,likeability,5,general,Male,45-54,Health-Conscious Families,Service
R041,uniqueness,4,general,Male,45-54,Health-Conscious Families,Service
R041,relevance,2,general,Male,45-54,Health-Conscious Families,Service
R041,recommendation,4,general,Male,45-54,Health-Conscious Families,Service
R041,current_meal_kit_user,1,general,Male,45-54,Health-Conscious Families,Service
R041,most_important_feature,6,general,Male,45-54,Health-Conscious Families,Service
R042,purchase_intent,1,general,Male,45-54,Health-Conscious Families,Sales
R042,value_for_money,1,general,Male,45-54,Health-Conscious Families,Sales
R042,likeability,4,general,Male,45-54,Health-Conscious Families,Sales
R042,uniqueness,4,general,Male,45-54,Health-Conscious Families,Sales
R042,relevance,5,general,Male,45-54,Health-Conscious Families,Sales
R042,recommendation,2,general,Male,45-54,Health-Conscious Families,Sales
R042,current_meal_kit_user,1,general,Male,45-54,Health-Conscious Families,Sales
R042,most_important_feature,5,general,Male,45-54,Health-Conscious Families,Sales
R043,purchase_intent,3,general,Female,35-44,Health-Conscious Families,Professional
R043,value_for_money,4,general,Female,35-44,Health-Conscious Families,Professional
R043,likeability,7,general,Female,35-44,Health-Conscious Families,Professional
R043,uniqueness,3,general,Female,35-44,Health-Conscious Families,Professional
R043,relevance,3,general,Female,35-44,Health-Conscious Families,Professional
R043,recommendation,3,general,Female,35-44,Health-Conscious Families,Professional
R043,current_meal_kit_user,2,general,Female,35-44,Health-Conscious Families,Professional
R043,most_important_feature,4,general,Female,35-44,Health-Conscious Families,Professional
R044,purchase_intent,2,general,Female,35-44,Health-Conscious Families,Professional
R044,value_for_money,3,general,Female,35-44,Health-Conscious Families,Professional
R044,likeability,7,general,Female,35-44,Health-Conscious Families,Professional
R044,uniqueness,5,general,Female,35-44,Health-Conscious Families,Professional
R044,relevance,2,general,Female,35-44,Health-Conscious Families,Professional
R044,recommendation,4,general,Female,35-44,Health-Conscious Families,Professional
R044,current_meal_kit_user,2,general,Female,35-44,Health-Conscious Families,Professional
R044,most_important_feature,2,general,Female,35-44,Health-Conscious Families,Professional
R045,purchase_intent,1,general,Female,45-54,Health-Conscious Families,Professional
R045,value_for_money,1,general,Female,45-54,Health-Conscious Families,Professional
R045,likeability,1,general,Female,45-54,Health-Conscious Families,Professional
R045,uniqueness,2,general,Female,45-54,Health-Conscious Families,Professional
R045,relevance,5,general,Female,45-54,Health-Conscious Families,Professional
R045,recommendation,2,general,Female,45-54,Health-Conscious Families,Professional
R045,current_meal_kit_user,2,general,Female,45-54,Health-Conscious Families,Professional
R045,most_important_feature,4,general,Female,45-54,Health-Conscious Families,Professional
R046,purchase_intent,1,general,Female,45-54,Health-Conscious Families,Sales
R046,value_for_money,4,general,Female,45-54,Health-Conscious Families,Sales
R046,likeability,7,general,Female,45-54,Health-Conscious Families,Sales
R046,uniqueness,5,general,Female,45-54,Health-Conscious Families,Sales
R046,relevance,4,general,Female,45-54,Health-Conscious Families,Sales
R046,recommendation,4,general,Female,45-54,Health-Conscious Families,Sales
R046,current_meal_kit_user,2,general,Female,45-54,Health-Conscious Families,Sales
R046,most_important_feature,3,general,Female,45-54,Health-Conscious Families,Sales
R047,purchase_intent,5,general,Male,45-54,Health-Conscious Families,Sales
R047,value_for_money,1,general,Male,45-54,Health-Conscious Families,Sales
R047,likeability,7,general,Male,45-54,Health-Conscious Families,Sales
R047,uniqueness,2,general,Male,45-54,Health-Conscious Families,Sales
R047,relevance,3,general,Male,45-54,Health-Conscious Families,Sales
R047,recommendation,3,general,Male,45-54,Health-Conscious Families,Sales
R047,current_meal_kit_user,2,general,Male,45-54,Health-Conscious Families,Sales
R047,most_important_feature,4,general,Male,45-54,Health-Conscious Families,Sales
R048,purchase_intent,1,general,Male,35-44,Health-Conscious Families,Sales
R048,value_for_money,2,general,Male,35-44,Health-Conscious Families,Sales
R048,likeability,2,general,Male,35-44,Health-Conscious Families,Sales
R048,uniqueness,1,general,Male,35-44,Health-Conscious Families,Sales
R048,relevance,5,general,Male,35-44,Health-Conscious Families,Sales
R048,recommendation,2,general,Male,35-44,Health-Conscious Families,Sales
R048,current_meal_kit_user,1,general,Male,35-44,Health-Conscious Families,Sales
R048,most_important_feature,3,general,Male,35-44,Health-Conscious Families,Sales
R049,purchase_intent,2,general,Female,35-44,Health-Conscious Families,Professional
R049,value_for_money,4,general,Female,35-44,Health-Conscious Families,Professional
R049,likeability,2,general,Female,35-44,Health-Conscious Families,Professional
R049,uniqueness,4,general,Female,35-44,Health-Conscious Families,Professional
R049,relevance,1,general,Female,35-44,Health-Conscious Families,Professional
R049,recommendation,3,general,Female,35-44,Health-Conscious Families,Professional
R049,current_meal_kit_user,1,general,Female,35-44,Health-Conscious Families,Professional
R049,most_important_feature,4,general,Female,35-44,Health-Conscious Families,Professional
R050,purchase_intent,3,general,Male,35-44,Health-Conscious Families,Professional
R050,value_for_money,2,general,Male,35-44,Health-Conscious Families,Professional
R050,likeability,4,general,Male,35-44,Health-Conscious Families,Professional
R050,uniqueness,1,general,Male,35-44,Health-Conscious Families,Professional
R050,relevance,3,general,Male,35-44,Health-Conscious Families,Professional
R050,recommendation,1,general,Male,35-44,Health-Conscious Families,Professional
R050,current_meal_kit_user,2,general,Male,35-44,Health-Conscious Families,Professional
R050,most_important_feature,4,general,Male,35-44,Health-Conscious Families,Professional
R051,purchase_intent,1,general,Male,45-54,Health-Conscious Families,Professional
R051,value_for_money,5,general,Male,45-54,Health-Conscious Families,Professional
R051,likeability,5,general,Male,45-54,Health-Conscious Families,Professional
R051,uniqueness,4,general,Male,45-54,Health-Conscious Families,Professional
R051,relevance,3,general,Male,45-54,Health-Conscious Families,Professional
R051,recommendation,4,general,Male,45-54,Health-Conscious Families,Professional
R051,current_meal_kit_user,1,general,Male,45-54,Health-Conscious Families,Professional
R051,most_important_feature,4,general,Male,45-54,Health-Conscious Families,Professional
R052,purchase_intent,3,general,Female,35-44,Health-Conscious Families,Sales
R052,value_for_money,5,general,Female,35-44,Health-Conscious Families,Sales
R052,likeability,6,general,Female,35-44,Health-Conscious Families,Sales
R052,uniqueness,3,general,Female,35-44,Health-Conscious Families,Sales
R052,relevance,3,general,Female,35-44,Health-Conscious Families,Sales
R052,recommendation,4,general,Female,35-44,Health-Conscious Families,Sales
R052,current_meal_kit_user,2,general,Female,35-44,Health-Conscious Families,Sales
R052,most_important_feature,6,general,Female,35-44,Health-Conscious Families,Sales
R053,purchase_intent,5,general,Male,35-44,Health-Conscious Families,Professional
R053,value_for_money,1,general,Male,35-44,Health-Conscious Families,Professional
R053,likeability,6,general,Male,35-44,Health-Conscious Families,Professional
R053,uniqueness,3,general,Male,35-44,Health-Conscious Families,Professional
R053,relevance,5,general,Male,35-44,Health-Conscious Families,Professional
R053,recommendation,3,general,Male,35-44,Health-Conscious Families,Professional
R053,current_meal_kit_user,2,general,Male,35-44,Health-Conscious Families,Professional
