respondent_id,question_id,ground_truth
R018,q2_subscription_likelihood,2
R018,q3_platform_trust,5
R018,q4_price_preference,5
R018,q5_recommend,2
R018,q6_feature_importance,5
R019,q1_would_subscribe,2
R019,q2_subscription_likelihood,1
R019,q3_platform_trust,1
R019,q4_price_preference,1
R019,q5_recommend,2
R019,q6_feature_importance,5
R020,q1_would_subscribe,1
R020,q2_subscription_likelihood,2
R020,q3_platform_trust,3
R020,q4_price_preference,1
R020,q5_recommend,1
R020,q6_feature_importance,3
R021,q1_would_subscribe,2
R021,q2_subscription_likelihood,4
R021,q3_platform_trust,4
R021,q4_price_preference,1
R021,q5_recommend,1
R021,q6_feature_importance,3
R022,q1_would_subscribe,1
R022,q2_subscription_likelihood,2
R022,q3_platform_trust,4
R022,q4_price_preference,3
R022,q5_recommend,1
R022,q6_feature_importance,2
R023,q1_would_subscribe,2
R023,q2_subscription_likelihood,1
R023,q3_platform_trust,1
R023,q4_price_preference,1
R023,q5_recommend,1
R023,q6_feature_importance,5
R024,q1_would_subscribe,2
R024,q2_subscription_likelihood,5
R024,q3_platform_trust,1
R024,q4_price_preference,3
R024,q5_recommend,1
R024,q6_feature_importance,1
R025,q1_would_subscribe,2
R025,q2_subscription_likelihood,2
R025,q3_platform_trust,7
R025,q4_price_preference,3
R025,q5_recommend,1
R025,q6_feature_importance,2
R026,q1_would_subscribe,1
R026,q2_subscription_likelihood,2
R026,q3_platform_trust,3
R026,q4_price_preference,3
R026,q5_recommend,1
R026,q6_feature_importance,1
R027,q1_would_subscribe,2
R027,q2_subscription_likelihood,3
R027,q3_platform_trust,3
R027,q4_price_preference,2
R027,q5_recommend,1
R027,q6_feature_importance,3
R028,q1_would_subscribe,1
R028,q2_subscription_likelihood,4
R028,q3_platform_trust,4
R028,q4_price_preference,3
R028,q5_recommend,1
R028,q6_feature_importance,1
R029,q1_would_subscribe,2
R029,q2_subscription_likelihood,5
R029,q3_platform_trust,3
R029,q4_price_preference,2
R029,q5_recommend,2
R029,q6_feature_importance,3
R030,q1_would_subscribe,2
R030,q2_subscription_likelihood,5
R030,q3_platform_trust,4
R030,q4_price_preference,2
R030,q5_recommend,1
R030,q6_feature_importance,5
R031,q1_would_subscribe,1
R031,q2_subscription_likelihood,4
R031,q3_platform_trust,2
R031,q4_price_preference,1
R031,q5_recommend,1
R031,q6_feature_importance,4
R032,q1_would_subscribe,1
R032,q2_subscription_likelihood,4
R032,q3_platform_trust,6
R032,q4_price_preference,2
R032,q5_recommend,1
R032,q6_feature_importance,4
R033,q1_would_subscribe,2
R033,q2_subscription_likelihood,5
R033,q3_platform_trust,5
R033,q4_price_preference,4
R033,q5_recommend,2
R033,q6_feature_importance,5
R034,q1_would_subscribe,1
R034,q2_subscription_likelihood,3
R034,q3_platform_trust,3
R034,q4_price_preference,4
R034,q5_recommend,1
R034,q6_feature_importance,5
R035,q1_would_subscribe,2
R035,q2_subscription_likelihood,2
R035,q3_platform_trust,5
R035,q4_price_preference,5
R035,q5_recommend,1
R035,q6_feature_importance,4
R036,q1_would_subscribe,2
R036,q2_subscription_likelihood,5
R036,q3_platform_trust,3
R036,q4_price_preference,3
R036,q5_recommend,1
R036,q6_feature_importance,3
R037,q1_would_subscribe,2
R037,q2_subscription_likelihood,2
R037,q3_platform_trust,2
R037,q4_price_preference,1
R037,q5_recommend,1
R037,q6_feature_importance,2
R038,q1_would_subscribe,1
R038,q2_subscription_likelihood,2
R038,q3_platform_trust,4
R038,q4_price_preference,5
R038,q5_recommend,1
R038,q6_feature_importance,2
R039,q1_would_subscribe,1
R039,q2_subscription_likelihood,5
R039,q3_platform_trust,2
R039,q4_price_preference,3
R039,q5_recommend,2
R039,q6_feature_importance,1
R040,q1_would_subscribe,2
R040,q2_subscription_likelihood,1
R040,q3_platform_trust,3
R040,q4_price_preference,1
R040,q5_recommend,1
R040,q6_feature_importance,1
R041,q1_would_subscribe,1
R041,q2_subscription_likelihood,4
R041,q3_platform_trust,4
R041,q4_price_preference,5
R041,q5_recommend,1
R041,q6_feature_importance,1
R042,q1_would_subscribe,2
R042,q2_subscription_likelihood,5
R042,q3_platform_trust,4
R042,q4_price_preference,4
R042,q5_recommend,2
R042,q6_feature_importance,3
R043,q1_would_subscribe,2
R043,q2_subscription_likelihood,4
R043,q3_platform_trust,4
R043,q4_price_preference,1
R043,q5_recommend,2
R043,q6_feature_importance,2
R044,q1_would_subscribe,2
R044,q2_subscription_likelihood,4
R044,q3_platform_trust,4
R044,q4_price_preference,5
R044,q5_recommend,2
R044,q6_feature_importance,5
R045,q1_would_subscribe,2
R045,q2_subscription_likelihood,3
R045,q3_platform_trust,3
R045,q4_price_preference,3
R045,q5_recommend,1
R045,q6_feature_importance,5
R046,q1_would_subscribe,2
R046,q2_subscription_likelihood,4
R046,q3_platform_trust,2
R046,q4_price_preference,5
R046,q5_recommend,2
R046,q6_feature_importance,1
R047,q1_would_subscribe,1
R047,q2_subscription_likelihood,2
R047,q3_platform_trust,1
R047,q4_price_preference,3
R047,q5_recommend,2
R047,q6_feature_importance,1
R048,q1_would_subscribe,2
R048,q2_subscription_likelihood,1
R048,q3_platform_trust,3
R048,q4_price_preference,5
R048,q5_recommend,2
R048,q6_feature_importance,4
R049,q1_would_subscribe,2
R049,q2_subscription_likelihood,3
R049,q3_platform_trust,1
R049,q4_price_preference,3
R049,q5_recommend,2
R049,q6_feature_importance,4
R050,q1_would_subscribe,2
R050,q2_subscription_likelihood,5
R050,q3_platform_trust,2
R050,q4_price_preference,3
R050,q5_recommend,1
R050,q6_feature_importance,1
