respondent_id,question_id,ground_truth,gender,age_group,persona_group,occupation
R022,q11_feature_importance,3,Female,35-44,Frequent Players - Tech Savvy,Technical
R022,q12_current_lottery_play,1,Female,35-44,Frequent Players - Tech Savvy,Technical
R022,q13_price_preference,1,Female,35-44,Frequent Players - Tech Savvy,Technical
R022,q14_usage_frequency,2,Female,35-44,Frequent Players - Tech Savvy,Technical
R023,q1_purchase_intent,5,Female,25-34,Frequent Players - Tech Savvy,Professional
R023,q2_uniqueness,1,Female,25-34,Frequent Players - Tech Savvy,Professional
R023,q3_value_for_money,1,Female,25-34,Frequent Players - Tech Savvy,Professional
R023,q4_likeability,6,Female,25-34,Frequent Players - Tech Savvy,Professional
R023,q5_relevance,5,Female,25-34,Frequent Players - Tech Savvy,Professional
R023,q6_excitement,5,Female,25-34,Frequent Players - Tech Savvy,Professional
R023,q7_believability,4,Female,25-34,Frequent Players - Tech Savvy,Professional
R023,q8_understanding,5,Female,25-34,Frequent Players - Tech Savvy,Professional
R023,q9_trust,5,Female,25-34,Frequent Players - Tech Savvy,Professional
R023,q10_recommendation,4,Female,25-34,Frequent Players - Tech Savvy,Professional
R023,q11_feature_importance,5,Female,25-34,Frequent Players - Tech Savvy,Professional
R023,q12_current_lottery_play,1,Female,25-34,Frequent Players - Tech Savvy,Professional
R023,q13_price_preference,1,Female,25-34,Frequent Players - Tech Savvy,Professional
R023,q14_usage_frequency,2,Female,25-34,Frequent Players - Tech Savvy,Professional
R024,q1_purchase_intent,4,Male,25-34,Frequent Players - Tech Savvy,Technical
R024,q2_uniqueness,4,Male,25-34,Frequent Players - Tech Savvy,Technical
R024,q3_value_for_money,2,Male,25-34,Frequent Players - Tech Savvy,Technical
R024,q4_likeability,5,Male,25-34,Frequent Players - Tech Savvy,Technical
R024,q5_relevance,1,Male,25-34,Frequent Players - Tech Savvy,Technical
R024,q6_excitement,5,Male,25-34,Frequent Players - Tech Savvy,Technical
R024,q7_believability,1,Male,25-34,Frequent Players - Tech Savvy,Technical
R024,q8_understanding,2,Male,25-34,Frequent Players - Tech Savvy,Technical
R024,q9_trust,3,Male,25-34,Frequent Players - Tech Savvy,Technical
R024,q10_recommendation,4,Male,25-34,Frequent Players - Tech Savvy,Technical
R024,q11_feature_importance,6,Male,25-34,Frequent Players - Tech Savvy,Technical
R024,q12_current_lottery_play,1,Male,25-34,Frequent Players - Tech Savvy,Technical
R024,q13_price_preference,1,Male,25-34,Frequent Players - Tech Savvy,Technical
R024,q14_usage_frequency,5,Male,25-34,Frequent Players - Tech Savvy,Technical
R025,q1_purchase_intent,4,Male,35-44,Frequent Players - Tech Savvy,Technical
R025,q2_uniqueness,5,Male,35-44,Frequent Players - Tech Savvy,Technical
R025,q3_value_for_money,5,Male,35-44,Frequent Players - Tech Savvy,Technical
R025,q4_likeability,5,Male,35-44,Frequent Players - Tech Savvy,Technical
R025,q5_relevance,4,Male,35-44,Frequent Players - Tech Savvy,Technical
R025,q6_excitement,4,Male,35-44,Frequent Players - Tech Savvy,Technical
R025,q7_believability,4,Male,35-44,Frequent Players - Tech Savvy,Technical
R025,q8_understanding,6,Male,35-44,Frequent Players - Tech Savvy,Technical
R025,q9_trust,3,Male,35-44,Frequent Players - Tech Savvy,Technical
R025,q10_recommendation,4,Male,35-44,Frequent Players - Tech Savvy,Technical
R025,q11_feature_importance,7,Male,35-44,Frequent Players - Tech Savvy,Technical
R025,q12_current_lottery_play,2,Male,35-44,Frequent Players - Tech Savvy,Technical
R025,q13_price_preference,3,Male,35-44,Frequent Players - Tech Savvy,Technical
R025,q14_usage_frequency,6,Male,35-44,Frequent Players - Tech Savvy,Technical
R026,q1_purchase_intent,4,Male,45-54,Frequent Players - Tech Savvy,Manager
R026,q2_uniqueness,3,Male,45-54,Frequent Players - Tech Savvy,Manager
R026,q3_value_for_money,2,Male,45-54,Frequent Players - Tech Savvy,Manager
R026,q4_likeability,2,Male,45-54,Frequent Players - Tech Savvy,Manager
R026,q5_relevance,2,Male,45-54,Frequent Players - Tech Savvy,Manager
R026,q6_excitement,3,Male,45-54,Frequent Players - Tech Savvy,Manager
